Frame Index,Time (s),Position (ticks),Velocity (t/s),Current (mA),PWM
0,0,0,0,-1,0
1,0.020976318359375,0,0,-1,0
2,0.042123291015625,0,0,-1,0
3,0.053340087890625,0,0,-1,0
4,0.074707763671875,0,0,-1,0
5,0.09572900390625,0,0,-1,0
6,0.1171171875,0,0,-1,0
7,0.13859228515625,0,0,-1,0
8,0.1597783203125,0,0,-1,0
9,0.180855224609375,0,0,-1,0
10,0.2019892578125,0,0,-1,0
11,0.223631591796875,0,0,-1,0
12,0.234718505859375,0,0,-1,0
13,0.255679931640625,0,0,-1,0
14,0.27700439453125,0,0,-1,0
15,0.319423828125,0,0,-1,0
16,0.340406982421875,0,0,-1,0
17,0.36148486328125,0,0,-1,0
18,0.383052734375,0,0,-1,0
19,0.404215087890625,0,0,-1,0
20,0.425333251953125,0,0,-1,0
21,0.43608935546875,0,0,-1,0
22,0.4576630859375,0,0,-1,0
23,0.47879736328125,0,0,-1,0
24,0.5000302734375,0,0,-1,0
25,0.521094970703125,0,0,-1,0
26,0.5427353515625,0,0,-1,0
27,0.56359423828125,0,0,-1,0
28,0.584841064453125,0,0,-1,0
29,0.6057744140625,0,0,-1,0
30,0.617064208984375,0,0,-1,0
31,0.6384365234375,0,0,-1,0
32,0.659565673828125,0,0,-1,0
33,0.680712158203125,0,0,-1,0
34,0.72320458984375,0,0,-1,0
35,0.744364501953125,0,0,-1,0
36,0.765248779296875,0,0,-1,0
37,0.807368896484375,0,0,-1,0
38,0.818596435546875,0,0,-1,0
39,0.839701416015625,0,0,-1,0
40,0.8817861328125,0,0,-1,0
41,0.902990478515625,0,0,-1,0
42,0.92410107421875,0,0,-1,0
43,0.966403564453125,0,0,-1,0
44,0.97760888671875,0,0,-1,0
45,1.0086708984375,0,0,-1,0
46,1.02028955078125,0,0,-1,0
47,1.041112548828125,0,0,-1,0
48,1.062245849609375,0,0,-1,0
49,1.083284912109375,0,0,-1,0
50,1.12566064453125,0,0,-1,0
51,1.146840576171875,0,0,-1,0
52,1.1677509765625,0,0,-1,0
53,1.19990380859375,0,0,-1,0
54,1.221305908203125,0,0,-1,0
55,1.242324462890625,0,0,-1,0
56,1.263831787109375,0,0,-1,0
57,1.284830322265625,0,0,-1,0
58,1.305965087890625,0,0,-1,239
59,1.32687939453125,21,848,-1,200
60,1.347659423828125,57,1575,-1,-9
61,1.389870849609375,114,1301,-1,-94
62,1.411018310546875,130,883,-1,-7
63,1.42193017578125,144,738,-1,45
64,1.464009521484375,170,646,-1,118
65,1.48537890625,184,644,-1,147
66,1.506810546875,197,676,-1,171
67,1.52776416015625,212,744,-1,187
68,1.56981494140625,251,987,-1,153
69,1.580751708984375,271,1003,-1,148
70,1.61213330078125,292,1018,-1,146
71,1.623008056640625,312,1028,-1,141
72,1.665056396484375,354,1036,-1,133
73,1.68645361328125,376,1046,-1,127
74,1.70738623046875,398,1051,-1,122
75,1.7283603515625,418,1056,-1,117
76,1.770372314453125,459,1046,-1,111
77,1.7917978515625,481,1039,-1,111
78,1.812570068359375,500,1021,-1,111
79,1.8234697265625,521,1013,-1,111
80,1.86551416015625,562,998,-1,113
81,1.886862060546875,581,986,-1,116
